episodio,goal_id,resultado,pasos,reward
1,goal_01,exito,1601,449.96
2,goal_01,exito,1600,449.88
3,goal_01,exito,1600,449.88
4,goal_01,exito,1600,449.88
5,goal_01,exito,1600,449.88
6,goal_01,exito,1600,449.88
7,goal_01,exito,1600,449.88
8,goal_01,exito,1600,449.88
9,goal_01,exito,1600,449.88
10,goal_01,exito,1600,449.87
11,goal_01,exito,1600,449.88
12,goal_01,exito,1600,449.87
13,goal_01,exito,1600,449.87
14,goal_01,exito,1600,449.88
15,goal_01,exito,1600,449.88
16,goal_01,exito,1600,449.87
17,goal_01,exito,1600,449.87
18,goal_01,exito,1600,449.88
19,goal_01,exito,1600,449.85
20,goal_01,exito,1600,449.87
21,goal_01,exito,1600,449.86
22,goal_01,exito,1600,449.88
23,goal_01,exito,1600,449.88
24,goal_01,exito,1600,449.87
25,goal_01,exito,1600,449.87
26,goal_01,exito,1600,449.88
27,goal_01,exito,1600,449.86
28,goal_01,exito,1600,449.88
29,goal_01,exito,1600,449.85
30,goal_01,exito,1600,449.88
31,goal_01,exito,1600,449.87
32,goal_01,exito,1600,449.88
33,goal_01,exito,1600,449.88
34,goal_01,exito,1600,449.88
35,goal_01,exito,1600,449.88
36,goal_01,exito,1600,449.88
37,goal_01,exito,1600,449.88
38,goal_01,exito,1600,449.88
39,goal_01,exito,1600,449.88
40,goal_01,exito,1600,449.88
41,goal_01,exito,1600,449.88
42,goal_01,exito,1601,450.03
43,goal_01,exito,1600,449.88
44,goal_01,exito,1600,449.88
45,goal_01,exito,1600,449.88
46,goal_01,exito,1600,449.88
47,goal_01,exito,1600,449.87
48,goal_01,exito,1600,449.88
49,goal_01,exito,1600,449.87
50,goal_01,exito,1600,449.87
51,goal_01,exito,1600,449.88
52,goal_01,exito,1600,449.87
53,goal_01,exito,1600,449.87
54,goal_01,exito,1600,449.88
55,goal_01,exito,1600,449.87
56,goal_01,exito,1600,449.86
57,goal_01,exito,1600,449.88
58,goal_01,exito,1600,449.85
59,goal_01,exito,1600,449.87
60,goal_01,exito,1600,449.88
61,goal_01,exito,1600,449.87
62,goal_01,exito,1600,449.88
63,goal_01,exito,1600,449.88
64,goal_01,exito,1600,449.87
65,goal_01,exito,1600,449.88
66,goal_01,exito,1600,449.88
67,goal_01,exito,1600,449.88
68,goal_01,exito,1600,449.88
69,goal_01,exito,1600,449.88
70,goal_01,exito,1600,449.88
71,goal_01,exito,1600,449.88
72,goal_01,exito,1600,449.88
73,goal_01,exito,1600,449.88
74,goal_01,exito,1600,449.88
75,goal_01,exito,1600,449.88
76,goal_01,exito,1600,449.88
77,goal_01,exito,1600,449.88
78,goal_01,exito,1600,449.88
79,goal_01,exito,1601,450.03
80,goal_01,exito,1600,449.88
81,goal_01,exito,1600,449.88
82,goal_01,exito,1600,449.87
83,goal_01,exito,1600,449.88
84,goal_01,exito,1600,449.88
85,goal_01,exito,1600,449.88
86,goal_01,exito,1600,449.88
87,goal_01,exito,1600,449.87
88,goal_01,exito,1600,449.88
89,goal_01,exito,1600,449.88
90,goal_01,exito,1600,449.87
91,goal_01,exito,1600,449.87
92,goal_01,exito,1600,449.85
93,goal_01,exito,1600,449.87
94,goal_01,exito,1600,449.87
95,goal_01,exito,1600,449.88
