episodio,goal_id,resultado,pasos_total,reward_total,llego_estanteria,llego_descarga,n_replans
1,goal_01,truncado,7000,-399.21,1,0,1
2,goal_01,truncado,7000,-399.33,1,0,1
3,goal_01,truncado,7000,-399.37,1,0,1
4,goal_01,truncado,7000,-399.34,1,0,1
5,goal_01,truncado,7000,-399.36,1,0,1
6,goal_01,truncado,7000,-399.34,1,0,1
7,goal_01,truncado,7000,-399.34,1,0,1
8,goal_01,truncado,7000,-399.35,1,0,1
9,goal_01,truncado,7000,-399.34,1,0,1
10,goal_01,truncado,7000,-399.35,1,0,1
11,goal_01,truncado,7000,-399.34,1,0,1
12,goal_01,truncado,7000,-399.32,1,0,1
13,goal_01,truncado,7000,-399.33,1,0,1
14,goal_01,truncado,7000,-399.33,1,0,1
15,goal_01,truncado,7000,-399.32,1,0,1
16,goal_01,truncado,7000,-399.32,1,0,1
17,goal_01,truncado,7000,-399.37,1,0,1
18,goal_01,truncado,7000,-399.32,1,0,1
19,goal_01,truncado,7000,-399.37,1,0,1
20,goal_01,truncado,7000,-399.37,1,0,1
21,goal_01,truncado,7000,-399.41,1,0,1
22,goal_01,truncado,7000,-399.37,1,0,1
23,goal_01,truncado,7000,-399.37,1,0,1
24,goal_01,truncado,7000,-399.34,1,0,1
25,goal_01,truncado,7000,-399.37,1,0,1
26,goal_01,truncado,7000,-399.34,1,0,1
27,goal_01,truncado,7000,-399.33,1,0,1
28,goal_01,truncado,7000,-399.34,1,0,1
29,goal_01,truncado,7000,-399.34,1,0,1
30,goal_01,truncado,7000,-399.33,1,0,1
31,goal_01,truncado,7000,-399.34,1,0,1
32,goal_01,truncado,7000,-399.34,1,0,1
33,goal_01,truncado,7000,-399.34,1,0,1
34,goal_01,truncado,7000,-399.33,1,0,1
35,goal_01,truncado,7000,-399.37,1,0,1
36,goal_01,truncado,7000,-399.32,1,0,1
37,goal_01,truncado,7000,-399.34,1,0,1
38,goal_01,truncado,7000,-399.32,1,0,1
39,goal_01,truncado,7000,-399.32,1,0,1
40,goal_01,truncado,7000,-399.32,1,0,1
41,goal_01,truncado,7000,-399.33,1,0,1
42,goal_01,truncado,7000,-399.36,1,0,1
43,goal_01,truncado,7000,-399.33,1,0,1
44,goal_01,truncado,7000,-399.37,1,0,1
45,goal_01,truncado,7000,-399.33,1,0,1
46,goal_01,truncado,7000,-399.38,1,0,1
47,goal_01,truncado,7000,-399.34,1,0,1
48,goal_01,truncado,7000,-399.35,1,0,1
49,goal_01,truncado,7000,-399.35,1,0,1
50,goal_01,truncado,7000,-399.34,1,0,1
51,goal_01,truncado,7000,-399.35,1,0,1
52,goal_01,truncado,7000,-399.34,1,0,1
53,goal_01,truncado,7000,-399.33,1,0,1
54,goal_01,truncado,7000,-399.33,1,0,1
55,goal_01,truncado,7000,-399.33,1,0,1
56,goal_01,truncado,7000,-399.33,1,0,1
57,goal_01,truncado,7000,-399.34,1,0,1
58,goal_01,truncado,7000,-399.32,1,0,1
59,goal_01,truncado,7000,-399.36,1,0,1
60,goal_01,truncado,7000,-399.34,1,0,1
61,goal_01,truncado,7000,-399.33,1,0,1
62,goal_01,truncado,7000,-399.37,1,0,1
63,goal_01,truncado,7000,-399.32,1,0,1
64,goal_01,truncado,7000,-399.37,1,0,1
65,goal_01,truncado,7000,-399.34,1,0,1
66,goal_01,truncado,7000,-399.38,1,0,1
67,goal_01,truncado,7000,-399.34,1,0,1
68,goal_01,truncado,7000,-399.34,1,0,1
69,goal_01,truncado,7000,-399.34,1,0,1
70,goal_01,truncado,7000,-399.33,1,0,1
71,goal_01,truncado,7000,-399.34,1,0,1
72,goal_01,truncado,7000,-399.33,1,0,1
73,goal_01,truncado,7000,-399.34,1,0,1
74,goal_01,truncado,7000,-399.33,1,0,1
75,goal_01,truncado,7000,-399.34,1,0,1
76,goal_01,truncado,7000,-399.33,1,0,1
77,goal_01,truncado,7000,-399.36,1,0,1
78,goal_01,truncado,7000,-399.33,1,0,1
79,goal_01,truncado,7000,-399.32,1,0,1
80,goal_01,truncado,7000,-399.36,1,0,1
81,goal_01,truncado,7000,-399.32,1,0,1
82,goal_01,truncado,7000,-399.37,1,0,1
83,goal_01,truncado,7000,-399.32,1,0,1
84,goal_01,truncado,7000,-399.37,1,0,1
85,goal_01,truncado,7000,-399.33,1,0,1
86,goal_01,truncado,7000,-399.37,1,0,1
87,goal_01,truncado,7000,-399.34,1,0,1
88,goal_01,truncado,7000,-399.38,1,0,1
89,goal_01,truncado,7000,-399.34,1,0,1
90,goal_01,truncado,7000,-399.37,1,0,1
91,goal_01,truncado,7000,-399.34,1,0,1
92,goal_01,truncado,7000,-399.37,1,0,1
93,goal_01,truncado,7000,-399.34,1,0,1
94,goal_01,truncado,7000,-399.34,1,0,1
95,goal_01,truncado,7000,-399.34,1,0,1
96,goal_01,truncado,7000,-399.34,1,0,1
97,goal_01,truncado,7000,-399.34,1,0,1
98,goal_01,truncado,7000,-399.33,1,0,1
99,goal_01,truncado,7000,-399.32,1,0,1
100,goal_01,truncado,7000,-399.33,1,0,1
101,goal_02,col_exit,455,-72.41,1,0,0
102,goal_02,col_exit,450,-71.17,1,0,0
103,goal_02,col_exit,450,-71.17,1,0,0
104,goal_02,col_exit,450,-71.17,1,0,0
105,goal_02,col_exit,450,-71.17,1,0,0
106,goal_02,col_exit,450,-71.17,1,0,0
107,goal_02,col_exit,450,-71.17,1,0,0
108,goal_02,col_exit,450,-71.17,1,0,0
109,goal_02,col_exit,450,-71.18,1,0,0
110,goal_02,col_exit,450,-71.17,1,0,0
111,goal_02,col_exit,450,-71.17,1,0,0
112,goal_02,col_exit,450,-71.17,1,0,0
113,goal_02,col_exit,450,-71.17,1,0,0
114,goal_02,col_exit,450,-71.17,1,0,0
115,goal_02,col_exit,450,-71.09,1,0,0
116,goal_02,col_exit,450,-71.18,1,0,0
117,goal_02,col_exit,450,-71.17,1,0,0
118,goal_02,col_exit,450,-71.17,1,0,0
119,goal_02,col_exit,450,-71.17,1,0,0
120,goal_02,col_exit,450,-71.17,1,0,0
121,goal_02,col_exit,450,-71.17,1,0,0
122,goal_02,col_exit,450,-71.17,1,0,0
123,goal_02,col_exit,450,-71.17,1,0,0
124,goal_02,col_exit,450,-71.18,1,0,0
125,goal_02,col_exit,450,-71.17,1,0,0
126,goal_02,col_exit,450,-71.18,1,0,0
127,goal_02,col_exit,450,-71.17,1,0,0
128,goal_02,col_exit,450,-71.17,1,0,0
129,goal_02,col_exit,450,-71.17,1,0,0
130,goal_02,col_exit,450,-71.17,1,0,0
131,goal_02,col_exit,450,-71.17,1,0,0
132,goal_02,col_exit,450,-71.17,1,0,0
133,goal_02,col_exit,450,-71.17,1,0,0
134,goal_02,col_exit,450,-71.18,1,0,0
135,goal_02,col_exit,450,-71.17,1,0,0
136,goal_02,col_exit,450,-71.17,1,0,0
137,goal_02,col_exit,450,-71.17,1,0,0
138,goal_02,col_exit,450,-71.17,1,0,0
139,goal_02,col_exit,450,-71.17,1,0,0
140,goal_02,col_exit,450,-71.17,1,0,0
141,goal_02,col_exit,450,-71.17,1,0,0
142,goal_02,col_exit,450,-71.18,1,0,0
143,goal_02,col_exit,450,-71.17,1,0,0
144,goal_02,col_exit,450,-71.17,1,0,0
145,goal_02,col_exit,450,-71.17,1,0,0
146,goal_02,col_exit,450,-71.17,1,0,0
147,goal_02,col_exit,450,-71.17,1,0,0
148,goal_02,col_exit,450,-71.17,1,0,0
149,goal_02,col_exit,450,-71.17,1,0,0
150,goal_02,col_exit,450,-71.17,1,0,0
151,goal_02,col_exit,450,-71.18,1,0,0
152,goal_02,col_exit,450,-71.17,1,0,0
153,goal_02,col_exit,450,-71.17,1,0,0
154,goal_02,col_exit,450,-71.17,1,0,0
155,goal_02,col_exit,450,-71.17,1,0,0
156,goal_02,col_exit,450,-71.17,1,0,0
157,goal_02,col_exit,450,-71.18,1,0,0
158,goal_02,col_exit,450,-71.17,1,0,0
159,goal_02,col_exit,450,-71.18,1,0,0
160,goal_02,col_exit,450,-71.17,1,0,0
161,goal_02,col_exit,450,-71.18,1,0,0
162,goal_02,col_exit,450,-71.17,1,0,0
163,goal_02,col_exit,450,-71.17,1,0,0
164,goal_02,col_exit,450,-71.17,1,0,0
165,goal_02,col_exit,450,-71.17,1,0,0
166,goal_02,col_exit,450,-71.17,1,0,0
167,goal_02,col_exit,450,-71.17,1,0,0
168,goal_02,col_exit,450,-71.17,1,0,0
169,goal_02,col_exit,450,-71.18,1,0,0
170,goal_02,col_exit,450,-71.17,1,0,0
171,goal_02,col_exit,450,-71.17,1,0,0
172,goal_02,col_exit,450,-71.17,1,0,0
173,goal_02,col_exit,450,-71.17,1,0,0
174,goal_02,col_exit,450,-71.17,1,0,0
175,goal_02,col_exit,450,-71.09,1,0,0
176,goal_02,col_exit,450,-71.18,1,0,0
177,goal_02,col_exit,450,-71.17,1,0,0
178,goal_02,col_exit,450,-71.17,1,0,0
179,goal_02,col_exit,450,-71.17,1,0,0
180,goal_02,col_exit,450,-71.17,1,0,0
181,goal_02,col_exit,450,-71.17,1,0,0
182,goal_02,col_exit,450,-71.17,1,0,0
183,goal_02,col_exit,450,-71.17,1,0,0
184,goal_02,col_exit,450,-71.18,1,0,0
185,goal_02,col_exit,450,-71.17,1,0,0
186,goal_02,col_exit,450,-71.18,1,0,0
187,goal_02,col_exit,450,-71.17,1,0,0
188,goal_02,col_exit,450,-71.17,1,0,0
189,goal_02,col_exit,450,-71.17,1,0,0
190,goal_02,col_exit,450,-71.17,1,0,0
191,goal_02,col_exit,450,-71.17,1,0,0
192,goal_02,col_exit,450,-71.17,1,0,0
193,goal_02,col_exit,450,-71.17,1,0,0
194,goal_02,col_exit,450,-71.18,1,0,0
195,goal_02,col_exit,450,-71.17,1,0,0
196,goal_02,col_exit,450,-71.17,1,0,0
197,goal_02,col_exit,450,-71.17,1,0,0
198,goal_02,col_exit,450,-71.18,1,0,0
199,goal_02,col_exit,450,-71.17,1,0,0
200,goal_02,col_exit,450,-71.17,1,0,0
201,goal_03,col_exit,559,-56.28,1,0,0
202,goal_03,col_exit,563,-55.75,1,0,0
203,goal_03,col_exit,559,-56.28,1,0,0
204,goal_03,col_exit,563,-55.75,1,0,0
205,goal_03,col_exit,559,-56.28,1,0,0
206,goal_03,col_exit,563,-55.75,1,0,0
207,goal_03,col_exit,559,-56.27,1,0,0
208,goal_03,col_exit,563,-55.75,1,0,0
209,goal_03,col_exit,559,-56.28,1,0,0
210,goal_03,col_exit,563,-55.75,1,0,0
211,goal_03,col_exit,559,-56.28,1,0,0
212,goal_03,col_exit,563,-55.74,1,0,0
213,goal_03,col_exit,559,-56.25,1,0,0
214,goal_03,col_exit,563,-55.75,1,0,0
215,goal_03,col_exit,559,-56.28,1,0,0
216,goal_03,col_exit,563,-55.74,1,0,0
217,goal_03,col_exit,559,-56.25,1,0,0
218,goal_03,col_exit,563,-55.74,1,0,0
219,goal_03,col_exit,559,-56.28,1,0,0
220,goal_03,col_exit,563,-55.76,1,0,0
221,goal_03,col_exit,559,-56.28,1,0,0
222,goal_03,col_exit,563,-55.74,1,0,0
223,goal_03,col_exit,559,-56.25,1,0,0
224,goal_03,col_exit,563,-55.77,1,0,0
225,goal_03,col_exit,559,-56.28,1,0,0
226,goal_03,col_exit,563,-55.77,1,0,0
227,goal_03,col_exit,559,-56.24,1,0,0
228,goal_03,col_exit,563,-55.77,1,0,0
229,goal_03,col_exit,558,-55.78,1,0,0
230,goal_03,col_exit,563,-55.77,1,0,0
231,goal_03,col_exit,559,-56.28,1,0,0
232,goal_03,col_exit,563,-55.77,1,0,0
233,goal_03,col_exit,559,-56.25,1,0,0
234,goal_03,col_exit,563,-55.77,1,0,0
235,goal_03,col_exit,559,-56.28,1,0,0
236,goal_03,col_exit,563,-55.77,1,0,0
237,goal_03,col_exit,559,-56.25,1,0,0
238,goal_03,col_exit,563,-55.77,1,0,0
239,goal_03,col_exit,559,-56.28,1,0,0
240,goal_03,col_exit,563,-55.77,1,0,0
241,goal_03,col_exit,559,-56.28,1,0,0
242,goal_03,col_exit,563,-55.77,1,0,0
243,goal_03,col_exit,559,-56.28,1,0,0
244,goal_03,col_exit,563,-55.77,1,0,0
245,goal_03,col_exit,559,-56.28,1,0,0
246,goal_03,col_exit,563,-55.77,1,0,0
247,goal_03,col_exit,559,-56.27,1,0,0
248,goal_03,col_exit,563,-55.74,1,0,0
249,goal_03,col_exit,559,-56.25,1,0,0
250,goal_03,col_exit,563,-55.74,1,0,0
251,goal_03,col_exit,559,-56.28,1,0,0
252,goal_03,col_exit,563,-55.74,1,0,0
253,goal_03,col_exit,559,-56.24,1,0,0
254,goal_03,col_exit,563,-55.75,1,0,0
255,goal_03,col_exit,559,-56.28,1,0,0
256,goal_03,col_exit,563,-55.74,1,0,0
257,goal_03,col_exit,559,-56.24,1,0,0
258,goal_03,col_exit,563,-55.75,1,0,0
259,goal_03,col_exit,559,-56.28,1,0,0
260,goal_03,col_exit,563,-55.74,1,0,0
261,goal_03,col_exit,559,-56.24,1,0,0
262,goal_03,col_exit,563,-55.75,1,0,0
263,goal_03,col_exit,559,-56.24,1,0,0
264,goal_03,col_exit,563,-55.74,1,0,0
265,goal_03,col_exit,559,-56.25,1,0,0
266,goal_03,col_exit,563,-55.74,1,0,0
267,goal_03,col_exit,559,-56.24,1,0,0
268,goal_03,col_exit,563,-55.74,1,0,0
269,goal_03,col_exit,559,-56.23,1,0,0
270,goal_03,col_exit,563,-55.74,1,0,0
271,goal_03,col_exit,559,-56.28,1,0,0
272,goal_03,col_exit,563,-55.74,1,0,0
273,goal_03,col_exit,558,-55.5,1,0,0
274,goal_03,col_exit,563,-55.74,1,0,0
275,goal_03,col_exit,559,-56.28,1,0,0
276,goal_03,col_exit,563,-55.74,1,0,0
277,goal_03,col_exit,559,-56.24,1,0,0
278,goal_03,col_exit,563,-55.74,1,0,0
279,goal_03,col_exit,559,-56.28,1,0,0
280,goal_03,col_exit,563,-55.77,1,0,0
281,goal_03,col_exit,559,-56.28,1,0,0
282,goal_03,col_exit,563,-55.77,1,0,0
283,goal_03,col_exit,559,-56.25,1,0,0
284,goal_03,col_exit,563,-55.77,1,0,0
285,goal_03,col_exit,559,-56.28,1,0,0
286,goal_03,col_exit,563,-55.77,1,0,0
287,goal_03,col_exit,559,-56.27,1,0,0
288,goal_03,col_exit,563,-55.77,1,0,0
289,goal_03,col_exit,559,-56.28,1,0,0
290,goal_03,col_exit,563,-55.77,1,0,0
291,goal_03,col_exit,559,-56.27,1,0,0
292,goal_03,col_exit,563,-55.77,1,0,0
293,goal_03,col_exit,559,-56.25,1,0,0
294,goal_03,col_exit,563,-55.77,1,0,0
295,goal_03,col_exit,559,-56.28,1,0,0
296,goal_03,col_exit,563,-55.77,1,0,0
297,goal_03,col_exit,559,-56.28,1,0,0
298,goal_03,col_exit,563,-55.77,1,0,0
299,goal_03,col_exit,559,-56.28,1,0,0
300,goal_03,col_exit,563,-55.77,1,0,0
301,goal_04,col_exit,1584,97.65,1,0,0
302,goal_04,col_exit,1593,99.59,1,0,0
303,goal_04,col_retorno,1851,213.76,1,1,0
304,goal_04,col_exit,1586,95.82,1,0,0
305,goal_04,col_retorno,2005,227.87,1,1,1
306,goal_04,col_retorno,1857,220.42,1,1,0
307,goal_04,col_retorno,1835,217.92,1,1,0
308,goal_04,col_exit,1574,96.38,1,0,0
309,goal_04,col_retorno,1874,222.03,1,1,0
310,goal_04,col_exit,1573,96.87,1,0,0
311,goal_04,col_exit,1599,100.05,1,0,0
312,goal_04,col_retorno,1883,218.59,1,1,0
313,goal_04,col_exit,1574,97.17,1,0,0
314,goal_04,col_exit,1602,100.61,1,0,0
315,goal_04,col_retorno,1882,218.68,1,1,0
316,goal_04,col_exit,1574,97.17,1,0,0
317,goal_04,col_exit,1602,100.6,1,0,0
318,goal_04,col_retorno,1881,218.21,1,1,0
319,goal_04,col_exit,1576,96.47,1,0,0
320,goal_04,col_exit,1602,100.61,1,0,0
321,goal_04,col_retorno,1885,216.78,1,1,0
322,goal_04,col_exit,1576,96.32,1,0,0
323,goal_04,col_exit,1597,99.66,1,0,0
324,goal_04,col_retorno,2048,215.64,1,1,1
325,goal_04,col_retorno,1850,220.09,1,1,0
326,goal_04,col_retorno,1839,218.6,1,1,0
327,goal_04,col_exit,1586,98.36,1,0,0
328,goal_04,col_retorno,1860,219.28,1,1,0
329,goal_04,col_exit,1586,93.56,1,0,0
330,goal_04,col_exit,1603,100.79,1,0,0
331,goal_04,col_retorno,1861,218.31,1,1,0
332,goal_04,col_exit,1579,96.5,1,0,0
333,goal_04,col_exit,1618,102.58,1,0,0
334,goal_04,col_retorno,1854,219.19,1,1,0
335,goal_04,col_exit,1583,95.66,1,0,0
336,goal_04,col_exit,1621,103.12,1,0,0
337,goal_04,col_retorno,1850,219.75,1,1,0
338,goal_04,col_exit,1599,95.95,1,0,0
339,goal_04,col_exit,1609,101.92,1,0,0
340,goal_04,col_retorno,1849,219.27,1,1,0
341,goal_04,col_exit,1604,93.97,1,0,0
342,goal_04,col_exit,1605,101.16,1,0,0
343,goal_04,col_retorno,1847,218.9,1,1,0
344,goal_04,col_exit,1609,93.06,1,0,0
345,goal_04,col_exit,1603,100.78,1,0,0
346,goal_04,col_retorno,1846,219.41,1,1,0
347,goal_04,col_exit,1607,94.17,1,0,0
348,goal_04,col_exit,1605,101.16,1,0,0
349,goal_04,col_retorno,1846,218.65,1,1,0
350,goal_04,col_exit,1608,93.46,1,0,0
351,goal_04,col_exit,1604,100.98,1,0,0
352,goal_04,col_retorno,1846,217.14,1,1,0
353,goal_04,col_exit,1589,94.86,1,0,0
354,goal_04,col_exit,1623,103.49,1,0,0
355,goal_04,col_retorno,1848,216.09,1,1,0
356,goal_04,col_exit,1585,95.48,1,0,0
357,goal_04,col_exit,1626,104.03,1,0,0
358,goal_04,col_retorno,1849,214.54,1,1,0
359,goal_04,col_exit,1587,95.71,1,0,0
360,goal_04,col_exit,1622,103.31,1,0,0
361,goal_04,col_retorno,1847,214.74,1,1,0
362,goal_04,col_exit,1581,95.69,1,0,0
363,goal_04,col_retorno,2014,225.62,1,1,1
364,goal_04,col_retorno,1856,220.54,1,1,0
365,goal_04,col_retorno,1835,217.92,1,1,0
366,goal_04,col_exit,1573,96.25,1,0,0
367,goal_04,col_retorno,1876,221.6,1,1,0
368,goal_04,col_exit,1573,96.88,1,0,0
369,goal_04,col_exit,1599,100.05,1,0,0
370,goal_04,col_retorno,1884,218.76,1,1,0
371,goal_04,col_exit,1574,97.19,1,0,0
372,goal_04,col_exit,1601,100.42,1,0,0
373,goal_04,col_retorno,1882,218.68,1,1,0
374,goal_04,col_exit,1574,97.17,1,0,0
375,goal_04,col_exit,1602,100.62,1,0,0
376,goal_04,col_retorno,1881,218.21,1,1,0
377,goal_04,col_exit,1576,96.47,1,0,0
378,goal_04,col_exit,1602,100.61,1,0,0
379,goal_04,col_retorno,1885,216.77,1,1,0
380,goal_04,col_exit,1576,96.33,1,0,0
381,goal_04,col_exit,1597,99.66,1,0,0
382,goal_04,col_retorno,2048,215.28,1,1,1
383,goal_04,col_retorno,1851,220.01,1,1,0
384,goal_04,col_retorno,1837,218.31,1,1,0
385,goal_04,col_exit,1586,98.36,1,0,0
386,goal_04,col_retorno,1860,219.01,1,1,0
387,goal_04,col_exit,1583,95.13,1,0,0
388,goal_04,col_exit,1607,101.56,1,0,0
389,goal_04,col_retorno,1861,218.3,1,1,0
390,goal_04,col_exit,1579,96.5,1,0,0
391,goal_04,col_exit,1618,102.58,1,0,0
392,goal_04,col_retorno,1854,219.03,1,1,0
393,goal_04,col_exit,1583,95.65,1,0,0
394,goal_04,col_exit,1621,103.13,1,0,0
395,goal_04,col_retorno,1850,219.75,1,1,0
396,goal_04,col_exit,1599,95.95,1,0,0
397,goal_04,col_exit,1609,101.92,1,0,0
398,goal_04,col_retorno,1849,219.27,1,1,0
399,goal_04,col_exit,1604,93.97,1,0,0
400,goal_04,col_exit,1605,101.16,1,0,0
401,goal_05,truncado,7000,-456.65,1,0,1
402,goal_05,truncado,7000,-456.62,1,0,1
403,goal_05,truncado,7000,-456.24,1,0,1
404,goal_05,truncado,7000,-456.53,1,0,1
405,goal_05,truncado,7000,-455.96,1,0,1
406,goal_05,truncado,7000,-456.56,1,0,1
407,goal_05,truncado,7000,-455.17,1,0,1
408,goal_05,truncado,7000,-455.57,1,0,1
409,goal_05,truncado,7000,-454.68,1,0,1
410,goal_05,truncado,7000,-455.58,1,0,1
411,goal_05,truncado,7000,-454.72,1,0,1
412,goal_05,truncado,7000,-455.06,1,0,1
413,goal_05,truncado,7000,-454.54,1,0,1
414,goal_05,truncado,7000,-455.49,1,0,1
415,goal_05,truncado,7000,-455.87,1,0,1
416,goal_05,truncado,7000,-455.62,1,0,1
417,goal_05,truncado,7000,-456.79,1,0,1
418,goal_05,truncado,7000,-456.01,1,0,1
419,goal_05,truncado,7000,-456.6,1,0,1
420,goal_05,truncado,7000,-456.19,1,0,1
421,goal_05,truncado,7000,-456.15,1,0,1
422,goal_05,truncado,7000,-455.37,1,0,1
423,goal_05,truncado,7000,-457.13,1,0,1
424,goal_05,truncado,7000,-457.25,1,0,1
425,goal_05,truncado,7000,-457.04,1,0,1
426,goal_05,truncado,7000,-456.48,1,0,1
427,goal_05,truncado,7000,-455.51,1,0,1
428,goal_05,truncado,7000,-456.07,1,0,1
429,goal_05,truncado,7000,-455.41,1,0,1
430,goal_05,truncado,7000,-455.02,1,0,1
431,goal_05,truncado,7000,-454.98,1,0,1
432,goal_05,truncado,7000,-455.57,1,0,1
433,goal_05,truncado,7000,-455.13,1,0,1
434,goal_05,truncado,7000,-454.89,1,0,1
435,goal_05,truncado,7000,-455.21,1,0,1
436,goal_05,truncado,7000,-455.8,1,0,1
437,goal_05,col_exit,309,-71.44,1,0,1
438,goal_05,truncado,7000,-456.2,1,0,1
439,goal_05,truncado,7000,-456.65,1,0,1
440,goal_05,col_exit,625,-94.91,1,0,1
441,goal_05,truncado,7000,-455.92,1,0,1
442,goal_05,truncado,7000,-456.18,1,0,1
443,goal_05,col_exit,625,-94.91,1,0,1
444,goal_05,truncado,7000,-455.93,1,0,1
445,goal_05,truncado,7000,-456.56,1,0,1
446,goal_05,truncado,7000,-456.2,1,0,1
447,goal_05,truncado,7000,-456.27,1,0,1
448,goal_05,truncado,7000,-455.99,1,0,1
449,goal_05,truncado,7000,-456.55,1,0,1
450,goal_05,truncado,7000,-457.12,1,0,1
451,goal_05,truncado,7000,-456.41,1,0,1
452,goal_05,truncado,7000,-456.24,1,0,1
453,goal_05,truncado,7000,-455.79,1,0,1
454,goal_05,truncado,7000,-455.4,1,0,1
455,goal_05,truncado,7000,-454.94,1,0,1
456,goal_05,truncado,7000,-455.15,1,0,1
457,goal_05,truncado,7000,-454.94,1,0,1
458,goal_05,truncado,7000,-455.77,1,0,1
459,goal_05,truncado,7000,-454.86,1,0,1
460,goal_05,truncado,7000,-455.22,1,0,1
461,goal_05,truncado,7000,-455.27,1,0,1
462,goal_05,truncado,7000,-455.76,1,0,1
463,goal_05,truncado,7000,-456.28,1,0,1
464,goal_05,truncado,7000,-456.83,1,0,1
465,goal_05,truncado,7000,-456.47,1,0,1
466,goal_05,truncado,7000,-456.44,1,0,1
467,goal_05,truncado,7000,-456.84,1,0,1
468,goal_05,truncado,7000,-456.19,1,0,1
469,goal_05,truncado,7000,-456.7,1,0,1
470,goal_05,truncado,7000,-456.04,1,0,1
471,goal_05,truncado,7000,-456.36,1,0,1
472,goal_05,col_exit,1456,-103.72,1,0,5
473,goal_05,truncado,7000,-454.98,1,0,1
474,goal_05,truncado,7000,-455.37,1,0,1
475,goal_05,truncado,7000,-455.09,1,0,1
476,goal_05,truncado,7000,-455.18,1,0,1
477,goal_05,truncado,7000,-455.65,1,0,1
478,goal_05,truncado,7000,-455.7,1,0,1
479,goal_05,truncado,7000,-455.62,1,0,1
480,goal_05,truncado,7000,-456.49,1,0,1
481,goal_05,truncado,7000,-456.59,1,0,1
482,goal_05,truncado,7000,-456.63,1,0,1
483,goal_05,truncado,7000,-456.24,1,0,1
484,goal_05,truncado,7000,-456.89,1,0,1
485,goal_05,col_exit,312,-71.73,1,0,1
486,goal_05,truncado,7000,-456.21,1,0,1
487,goal_05,col_exit,1465,-105.72,1,0,5
488,goal_05,truncado,7000,-456.51,1,0,1
489,goal_05,truncado,7000,-457.04,1,0,1
490,goal_05,truncado,7000,-455.41,1,0,1
491,goal_05,truncado,7000,-455.58,1,0,1
492,goal_05,truncado,7000,-454.43,1,0,1
493,goal_05,truncado,7000,-455.17,1,0,1
494,goal_05,truncado,7000,-454.52,1,0,1
495,goal_05,truncado,7000,-455.16,1,0,1
496,goal_05,truncado,7000,-455.01,1,0,1
497,goal_05,truncado,7000,-455.0,1,0,1
498,goal_05,truncado,7000,-456.36,1,0,1
499,goal_05,truncado,7000,-455.88,1,0,1
500,goal_05,truncado,7000,-456.48,1,0,1
501,goal_06,truncado,7000,-453.38,1,0,1
502,goal_06,truncado,7000,-453.42,1,0,1
503,goal_06,truncado,7000,-453.4,1,0,1
504,goal_06,truncado,7000,-453.43,1,0,1
505,goal_06,truncado,7000,-453.43,1,0,1
506,goal_06,truncado,7000,-453.48,1,0,1
507,goal_06,truncado,7000,-453.42,1,0,1
508,goal_06,truncado,7000,-453.48,1,0,1
509,goal_06,truncado,7000,-453.44,1,0,1
510,goal_06,truncado,7000,-453.56,1,0,1
511,goal_06,truncado,7000,-453.47,1,0,1
512,goal_06,truncado,7000,-453.49,1,0,1
513,goal_06,truncado,7000,-453.43,1,0,1
514,goal_06,truncado,7000,-453.39,1,0,1
515,goal_06,truncado,7000,-453.51,1,0,1
516,goal_06,truncado,7000,-453.39,1,0,1
517,goal_06,truncado,7000,-453.41,1,0,1
518,goal_06,truncado,7000,-453.41,1,0,1
519,goal_06,truncado,7000,-453.38,1,0,1
520,goal_06,truncado,7000,-453.45,1,0,1
521,goal_06,truncado,7000,-453.42,1,0,1
522,goal_06,truncado,7000,-453.51,1,0,1
523,goal_06,truncado,7000,-453.46,1,0,1
524,goal_06,truncado,7000,-453.52,1,0,1
525,goal_06,truncado,7000,-453.42,1,0,1
526,goal_06,truncado,7000,-453.44,1,0,1
527,goal_06,truncado,7000,-453.43,1,0,1
528,goal_06,truncado,7000,-453.43,1,0,1
529,goal_06,truncado,7000,-453.4,1,0,1
530,goal_06,truncado,7000,-453.4,1,0,1
531,goal_06,truncado,7000,-453.51,1,0,1
532,goal_06,truncado,7000,-453.39,1,0,1
533,goal_06,truncado,7000,-453.54,1,0,1
534,goal_06,truncado,7000,-453.39,1,0,1
535,goal_06,truncado,7000,-453.47,1,0,1
536,goal_06,truncado,7000,-453.38,1,0,1
537,goal_06,truncado,7000,-453.51,1,0,1
538,goal_06,truncado,7000,-453.42,1,0,1
539,goal_06,truncado,7000,-453.41,1,0,1
540,goal_06,truncado,7000,-453.41,1,0,1
541,goal_06,truncado,7000,-453.42,1,0,1
542,goal_06,truncado,7000,-453.43,1,0,1
543,goal_06,truncado,7000,-453.42,1,0,1
544,goal_06,truncado,7000,-453.48,1,0,1
545,goal_06,truncado,7000,-453.45,1,0,1
546,goal_06,truncado,7000,-453.43,1,0,1
547,goal_06,truncado,7000,-453.47,1,0,1
548,goal_06,truncado,7000,-453.48,1,0,1
549,goal_06,truncado,7000,-453.46,1,0,1
550,goal_06,truncado,7000,-453.38,1,0,1
551,goal_06,truncado,7000,-453.48,1,0,1
552,goal_06,truncado,7000,-453.4,1,0,1
553,goal_06,truncado,7000,-453.51,1,0,1
554,goal_06,truncado,7000,-453.39,1,0,1
555,goal_06,truncado,7000,-453.51,1,0,1
556,goal_06,truncado,7000,-453.43,1,0,1
